id,name,length,owners,suppliers,rfs,rfs_year,is_planned,url,notes,n_landing_points,countries
2africa,2Africa,"45,000 km","Bayobab, China Mobile, Meta, Orange, Telecom Egypt, Vodafone, WIOCC, center3",ASN,2024,2024.0,False,https://www.2africacable.net/,,50,"Angola, Bahrain, Comoros, Congo, Dem. Rep., Congo, Rep., Côte d'Ivoire, Djibouti, Egypt, France, Gabon, Ghana, Greece, India, Iraq, Italy, Kenya, Kuwait, Madagascar, Mozambique, Nigeria, Oman, Pakistan, Portugal, Qatar, Saudi Arabia, Senegal, Seychelles, Somalia, South Africa, Spain, Sudan, Tanzania, United Arab Emirates, United Kingdom"
5-villages-6-islands,5 Villages 6 Islands,355 km,Tokyo Metropolitan Government,NEC,2019,2019.0,False,,,9,Japan
acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),"3,000 km",Alaska Communications,SubCom,2009 April,2009.0,False,https://www.alaskacommunications.com,,4,United States
adamasia-cable-system-1,Adamasia Cable System 1,"1,015 km",Solomon Island Submarine Cable Company,SubCom,2027 Q4,2027.0,True,,,1,Solomon Islands
aden-djibouti,Aden-Djibouti,269 km,"Djibouti Telecom, Orange, Sparkle, Tata Communications, TeleYemen",ASN,1994,1994.0,False,https://www.teleyemen.com.ye/,,2,"Djibouti, Yemen"
adria-1,Adria-1,440 km,"ALBtelecom, Hrvatski Telekom",ASN,1996 September,1996.0,False,,,3,"Albania, Croatia, Greece"
aec-1,AEC-1,"5,521 km",EXA Infrastructure,SubCom,2016 January,2016.0,False,https://exainfra.net/,,2,"Ireland, United States"
africa-1,Africa-1,"10,000 km","G42, Mobily, Pakistan Telecommunications Company Ltd., TeleYemen, Telecom Egypt, Zain Omantel International, e&",ASN,2027,2027.0,True,,,11,"Algeria, Djibouti, Egypt, France, Kenya, Pakistan, Saudi Arabia, Somalia, United Arab Emirates, Yemen"
africa-coast-to-europe-ace,Africa Coast to Europe (ACE),"17,000 km","Bayobab, Cable Consortium of Liberia, Canalink, Dolphin Telecom, GUILAB, Gambia Submarine Cable Company, International Mauritania Telecom, Orange, Orange Cameroun, Orange Cote d’Ivoire, Orange Mali, Republic of Cameroon, Republic of Equatorial Guinea, Republic of Gabon, Republic of Guinea Bissau, SBIN (Société Béninoise des Infrastructures Numériques du Bénin), STP Cabo, Sierra Leone Cable Company, Sonatel, Zamani Telecom",ASN,2012 December,2012.0,False,,,18,"Benin, Côte d'Ivoire, Equatorial Guinea, France, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Liberia, Mauritania, Nigeria, Portugal, Sao Tome and Principe, Senegal, Sierra Leone, South Africa, Spain"
airraq,Airraq,840 km,"Unicom, Inc.",,2025 Q1,2025.0,False,https://www.gci.com/bethel-airraq-network,,5,United States
alaska-united-east-au-east,Alaska United East (AU-East),"3,751 km",GCI Communication Corp,SubCom,1999 February,1999.0,False,https://www.gci.com/,,4,United States
alaska-united-southeast-au-se,Alaska United Southeast (AU-SE),626 km,GCI Communication Corp,SubCom,2008 November,2008.0,False,https://www.gci.com/,,7,United States
alaska-united-turnagain-arm-auta,Alaska United Turnagain Arm (AUTA),53 km,GCI Communication Corp,,2012,2012.0,False,https://www.gci.com/,,2,United States
alaska-united-west-au-west,Alaska United West (AU-West),"2,485 km",GCI Communication Corp,NEC,2004 June,2004.0,False,https://www.gci.com/,,3,United States
alba-1,ALBA-1,"1,860 km","Telecom Venezuela, Transbit",ASN,2012 August,2012.0,False,,,4,"Cuba, Jamaica, Venezuela"
aletar,Aletar,787 km,"Liban Telecom, Syrian Telecommunications Establishment, Telecom Egypt",ASN,1997 April,1997.0,False,,,2,"Egypt, Syria"
almera-melilla-alme,Almería-Melilla (ALME),198 km,Telefonica,Nexans,1990,1990.0,False,https://www.telefonica.com/,,2,Spain
alonso-de-ojeda,Alonso de Ojeda,122 km,"Setar, United Telecommunication Services (UTS)",ASN,1999,1999.0,False,,,2,"Aruba, Curaçao"
alpal-2,Alpal-2,312 km,"Algerie Telecom, Orange, Sparkle, Telxius",Prysmian,2002 July,2002.0,False,,,2,"Algeria, Spain"
america-movil-submarine-cable-system-1-amx-1,America Movil Submarine Cable System-1 (AMX-1),"17,800 km",América Móvil (Claro),ASN,2014,2014.0,False,http://www.americamovil.com,,15,"Brazil, Colombia, Costa Rica, Dominican Republic, Guatemala, Mexico, United States"
american-1,AmeriCan-1,140 km,"Bell Canada, Ledcor Industries Inc., Rogers Communications, Zayo",,1999 December,1999.0,False,,,5,"Canada, United States"
americas-i-north,Americas-I North,"2,012 km",AT&T,SubCom,1994 September,1994.0,False,,,2,United States
americas-ii-west,Americas-II West,217 km,"AT&T, Liberty Networks, Sparkle",SubCom,2000 August,2000.0,False,,,2,"United States, Virgin Islands (U.S.)"
amerigo-vespucci,Amerigo Vespucci,87 km,Antelecom,ASN,1999,1999.0,False,,,2,"Curaçao, Netherlands"
amitie,Amitie,"6,792 km","EXA Infrastructure, Meta, Microsoft, Orange, Vodafone",ASN,2023 July,2023.0,False,,,3,"France, United Kingdom, United States"
