landing_id,landing_name,country,cable_id,cable_name,rfs_year,is_planned
luanda-angola,"Luanda, Angola",Angola,2africa,2Africa,2024.0,False
manama-bahrain,"Manama, Bahrain",Bahrain,2africa,2Africa,2024.0,False
moroni-comoros,"Moroni, Comoros",Comoros,2africa,2Africa,2024.0,False
muanda-congo-dem-rep-,"Muanda, Congo, Dem. Rep.","Congo, Dem. Rep.",2africa,2Africa,2024.0,False
pointe-noire-congo-rep-,"Pointe-Noire, Congo, Rep.","Congo, Rep.",2africa,2Africa,2024.0,False
abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",Côte d'Ivoire,2africa,2Africa,2024.0,False
djibouti-city-djibouti,"Djibouti City, Djibouti",Djibouti,2africa,2Africa,2024.0,False
port-said-egypt,"Port Said, Egypt",Egypt,2africa,2Africa,2024.0,False
ras-ghareb-egypt,"Ras Ghareb, Egypt",Egypt,2africa,2Africa,2024.0,False
suez-egypt,"Suez, Egypt",Egypt,2africa,2Africa,2024.0,False
zafarana-egypt,"Zafarana, Egypt",Egypt,2africa,2Africa,2024.0,False
marseille-france,"Marseille, France",France,2africa,2Africa,2024.0,False
libreville-gabon,"Libreville, Gabon",Gabon,2africa,2Africa,2024.0,False
accra-ghana,"Accra, Ghana",Ghana,2africa,2Africa,2024.0,False
tympaki-greece,"Tympaki, Greece",Greece,2africa,2Africa,2024.0,False
mumbai-india,"Mumbai, India",India,2africa,2Africa,2024.0,False
al-faw-iraq,"Al Faw, Iraq",Iraq,2africa,2Africa,2024.0,False
genoa-italy,"Genoa, Italy",Italy,2africa,2Africa,2024.0,False
mombasa-kenya,"Mombasa, Kenya",Kenya,2africa,2Africa,2024.0,False
mtwapa-kenya,"Mtwapa, Kenya",Kenya,2africa,2Africa,2024.0,False
kuwait-city-kuwait,"Kuwait City, Kuwait",Kuwait,2africa,2Africa,2024.0,False
mahajanga-madagascar,"Mahajanga, Madagascar",Madagascar,2africa,2Africa,2024.0,False
maputo-mozambique,"Maputo, Mozambique",Mozambique,2africa,2Africa,2024.0,False
nacala-mozambique,"Nacala, Mozambique",Mozambique,2africa,2Africa,2024.0,False
kwa-ibo-nigeria,"Kwa Ibo, Nigeria",Nigeria,2africa,2Africa,2024.0,False
lagos-nigeria,"Lagos, Nigeria",Nigeria,2africa,2Africa,2024.0,False
barka-oman,"Barka, Oman",Oman,2africa,2Africa,2024.0,False
salalah-oman,"Salalah, Oman",Oman,2africa,2Africa,2024.0,False
karachi-pakistan,"Karachi, Pakistan",Pakistan,2africa,2Africa,2024.0,False
carcavelos-portugal,"Carcavelos, Portugal",Portugal,2africa,2Africa,2024.0,False
doha-qatar,"Doha, Qatar",Qatar,2africa,2Africa,2024.0,False
al-khobar-saudi-arabia,"Al Khobar, Saudi Arabia",Saudi Arabia,2africa,2Africa,2024.0,False
duba-saudi-arabia,"Duba, Saudi Arabia",Saudi Arabia,2africa,2Africa,2024.0,False
jeddah-saudi-arabia,"Jeddah, Saudi Arabia",Saudi Arabia,2africa,2Africa,2024.0,False
yanbu-saudi-arabia,"Yanbu, Saudi Arabia",Saudi Arabia,2africa,2Africa,2024.0,False
dakar-senegal,"Dakar, Senegal",Senegal,2africa,2Africa,2024.0,False
carana-seychelles,"Carana, Seychelles",Seychelles,2africa,2Africa,2024.0,False
berbera-somalia,"Berbera, Somalia",Somalia,2africa,2Africa,2024.0,False
mogadishu-somalia,"Mogadishu, Somalia",Somalia,2africa,2Africa,2024.0,False
amanzimtoti-south-africa,"Amanzimtoti, South Africa",South Africa,2africa,2Africa,2024.0,False
duynefontein-south-africa,"Duynefontein, South Africa",South Africa,2africa,2Africa,2024.0,False
gqeberha-south-africa,"Gqeberha, South Africa",South Africa,2africa,2Africa,2024.0,False
yzerfontein-south-africa,"Yzerfontein, South Africa",South Africa,2africa,2Africa,2024.0,False
barcelona-spain,"Barcelona, Spain",Spain,2africa,2Africa,2024.0,False
gran-canaria-canary-islands-spain,"Gran Canaria, Canary Islands, Spain",Spain,2africa,2Africa,2024.0,False
port-sudan-sudan,"Port Sudan, Sudan",Sudan,2africa,2Africa,2024.0,False
dar-es-salaam-tanzania,"Dar Es Salaam, Tanzania",Tanzania,2africa,2Africa,2024.0,False
abu-dhabi-united-arab-emirates,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2africa,2Africa,2024.0,False
kalba-united-arab-emirates,"Kalba, United Arab Emirates",United Arab Emirates,2africa,2Africa,2024.0,False
bude-united-kingdom,"Bude, United Kingdom",United Kingdom,2africa,2Africa,2024.0,False
aogashima-japan,"Aogashima, Japan",Japan,5-villages-6-islands,5 Villages 6 Islands,2019.0,False
hachijo-japan,"Hachijo, Japan",Japan,5-villages-6-islands,5 Villages 6 Islands,2019.0,False
kozushima-japan,"Kozushima, Japan",Japan,5-villages-6-islands,5 Villages 6 Islands,2019.0,False
mikurashima-japan,"Mikurashima, Japan",Japan,5-villages-6-islands,5 Villages 6 Islands,2019.0,False
miyake-japan,"Miyake, Japan",Japan,5-villages-6-islands,5 Villages 6 Islands,2019.0,False
niijima-japan,"Niijima, Japan",Japan,5-villages-6-islands,5 Villages 6 Islands,2019.0,False
oshima-japan,"Oshima, Japan",Japan,5-villages-6-islands,5 Villages 6 Islands,2019.0,False
shikinejima-japan,"Shikinejima, Japan",Japan,5-villages-6-islands,5 Villages 6 Islands,2019.0,False
toshima-japan,"Toshima, Japan",Japan,5-villages-6-islands,5 Villages 6 Islands,2019.0,False
anchorage-ak-united-states,"Anchorage, AK, United States",United States,acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),2009.0,False
florence-or-united-states,"Florence, OR, United States",United States,acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),2009.0,False
homer-ak-united-states,"Homer, AK, United States",United States,acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),2009.0,False
nikiski-ak-united-states,"Nikiski, AK, United States",United States,acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),2009.0,False
honiara-solomon-islands,"Honiara, Solomon Islands",Solomon Islands,adamasia-cable-system-1,Adamasia Cable System 1,2027.0,True
djibouti-city-djibouti,"Djibouti City, Djibouti",Djibouti,aden-djibouti,Aden-Djibouti,1994.0,False
aden-yemen,"Aden, Yemen",Yemen,aden-djibouti,Aden-Djibouti,1994.0,False
durres-albania,"Durres, Albania",Albania,adria-1,Adria-1,1996.0,False
dubrovnik-croatia,"Dubrovnik, Croatia",Croatia,adria-1,Adria-1,1996.0,False
corfu-greece,"Corfu, Greece",Greece,adria-1,Adria-1,1996.0,False
killala-ireland,"Killala, Ireland",Ireland,aec-1,AEC-1,2016.0,False
shirley-ny-united-states,"Shirley, NY, United States",United States,aec-1,AEC-1,2016.0,False
bejaia-algeria,"Bejaia, Algeria",Algeria,africa-1,Africa-1,2027.0,True
djibouti-city-djibouti,"Djibouti City, Djibouti",Djibouti,africa-1,Africa-1,2027.0,True
ras-ghareb-egypt,"Ras Ghareb, Egypt",Egypt,africa-1,Africa-1,2027.0,True
sidi-kerir-egypt,"Sidi Kerir, Egypt",Egypt,africa-1,Africa-1,2027.0,True
marseille-france,"Marseille, France",France,africa-1,Africa-1,2027.0,True
mombasa-kenya,"Mombasa, Kenya",Kenya,africa-1,Africa-1,2027.0,True
karachi-pakistan,"Karachi, Pakistan",Pakistan,africa-1,Africa-1,2027.0,True
duba-saudi-arabia,"Duba, Saudi Arabia",Saudi Arabia,africa-1,Africa-1,2027.0,True
berbera-somalia,"Berbera, Somalia",Somalia,africa-1,Africa-1,2027.0,True
kalba-united-arab-emirates,"Kalba, United Arab Emirates",United Arab Emirates,africa-1,Africa-1,2027.0,True
al-hudaydah-yemen,"Al Hudaydah, Yemen",Yemen,africa-1,Africa-1,2027.0,True
cotonou-benin,"Cotonou, Benin",Benin,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",Côte d'Ivoire,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
bata-equatorial-guinea,"Bata, Equatorial Guinea",Equatorial Guinea,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
penmarch-france,"Penmarch, France",France,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
libreville-gabon,"Libreville, Gabon",Gabon,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
banjul-gambia,"Banjul, Gambia",Gambia,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
accra-ghana,"Accra, Ghana",Ghana,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
conakry-guinea,"Conakry, Guinea",Guinea,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
suro-guinea-bissau,"Suro, Guinea-Bissau",Guinea-Bissau,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
monrovia-liberia,"Monrovia, Liberia",Liberia,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
nouakchott-mauritania,"Nouakchott, Mauritania",Mauritania,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
lagos-nigeria,"Lagos, Nigeria",Nigeria,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
carcavelos-portugal,"Carcavelos, Portugal",Portugal,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
sao-tome-sao-tome-and-principe,"Sao Tome, Sao Tome and Principe",Sao Tome and Principe,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
dakar-senegal,"Dakar, Senegal",Senegal,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
freetown-sierra-leone,"Freetown, Sierra Leone",Sierra Leone,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
duynefontein-south-africa,"Duynefontein, South Africa",South Africa,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
granadilla-de-abona-spain,"Granadilla de Abona, Spain",Spain,africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,False
dillingham-ak-united-states,"Dillingham, AK, United States",United States,airraq,Airraq,2025.0,False
eek-ak-united-states,"Eek, AK, United States",United States,airraq,Airraq,2025.0,False
platinum-ak-united-states,"Platinum, AK, United States",United States,airraq,Airraq,2025.0,False
quinhagak-ak-united-states,"Quinhagak, AK, United States",United States,airraq,Airraq,2025.0,False
togiak-ak-united-states,"Togiak, AK, United States",United States,airraq,Airraq,2025.0,False
juneau-ak-united-states,"Juneau, AK, United States",United States,alaska-united-east-au-east,Alaska United East (AU-East),1999.0,False
lynnwood-wa-united-states,"Lynnwood, WA, United States",United States,alaska-united-east-au-east,Alaska United East (AU-East),1999.0,False
valdez-ak-united-states,"Valdez, AK, United States",United States,alaska-united-east-au-east,Alaska United East (AU-East),1999.0,False
whittier-ak-united-states,"Whittier, AK, United States",United States,alaska-united-east-au-east,Alaska United East (AU-East),1999.0,False
